old_name,new_name
-1,-1
acetate,acetate
(acetate),acetate
acetyate,acetate
aminoacids,aminoacids
a trimethylamine,trimethylamine
biotin,biotin
casamino acids,casamino acids
co/h2,co/h2
com,com
cysteine,cysteine
di-,dimethylamine
easyt extract,yeast extract
fe,fe
fe2o3,fe2o3
generally organic compounds,generally organic compounds
h2,h2
h2/c02,h2/c02
hs-com ,hs-com 
methanethiol,methanethiol
methanol,methanol
methylamine,methylamine
microelement solution,microelement solution
mono-,monimethylamine
ni,ni
no,no
none,none
no data,no data
pantoyllacetone,pantoyllacetone
peptone,peptone
peptones ,peptone
potasium,potasium
rument fluid,rumen fluid
rumen fluid,rumen fluid
selenate,selenite
selenite,selenite
selenium,selenium
tripticase,tripticase
trypticase,tripticase
tungsten,tungsten
vitamins,vitamins
w,w
yeast extract,yeast extract
yest extract,yeast extract
